Date;Heure;t;Lot;Condition;Nb_rep;Nb_vdt;Food;w;Diapause;Status;Keep;Comment;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D1;1;1;3;13,2;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;10:45;14;A;D1;1;1;3;47.6;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;11:40;28;A;D1;1;1;3;144.5;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;09:40;42;A;D1;1;1;3;342.1;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;1;2;1,5;8,2;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;1;2;1,5;10,8;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;2;2;1,5;10,9;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;2;2;1,5;10,6;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;3;2;1,5;5,9;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;3;2;1,5;12,5;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;4;2;1,5;12,5;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D2;4;2;1,5;12,4;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;1;5;0,6;9,9;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;1;5;0,6;11,2;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;1;5;0,6;13,3;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;1;5;0,6;8,7;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;1;5;0,6;12,8;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;2;5;0,6;11,2;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;2;5;0,6;10,9;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;2;5;0,6;8,7;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;2;5;0,6;13,8;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;2;5;0,6;8,5;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;3;5;0,6;10,8;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;3;5;0,6;8,7;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;3;5;0,6;12,1;0;J;Yes;;;;;;;;;;;;;;
18/06/2025;13:40;0;A;D5;3;5;0,6;11,7;0;J;Yes;;;;;;;;;;;;;;
