Date;t;Lot;Condition;Nb_rep;Nb_vdt;Food;Nb_cocoons;Nb_cocoons_ind;Reproduction;Keep
18/06/2025;0;A;D1;1;1;3;0;0;0;Yes
18/06/2025;0;A;D1;2;1;3;0;0;0;Yes
18/06/2025;0;A;D1;3;1;3;0;0;0;Yes
18/06/2025;0;A;D1;4;1;3;0;0;0;Yes
18/06/2025;0;A;D2;1;2;1,5;0;0;0;Yes
18/06/2025;0;A;D2;2;2;1,5;0;0;0;Yes
18/06/2025;0;A;D2;3;2;1,5;0;0;0;Yes
18/06/2025;0;A;D2;4;2;1,5;0;0;0;Yes
18/06/2025;0;A;D2b;1;2;3;0;0;0;Yes
18/06/2025;0;A;D2b;2;2;3;0;0;0;Yes
18/06/2025;0;A;D2b;3;2;3;0;0;0;Yes
18/06/2025;0;A;D2b;4;2;3;0;0;0;Yes
18/06/2025;0;A;D5;1;5;0,6;0;0;0;Yes
18/06/2025;0;A;D5;2;5;0,6;0;0;0;Yes
18/06/2025;0;A;D5;3;5;0,6;0;0;0;Yes
18/06/2025;0;A;D5;4;5;0,6;0;0;0;Yes
18/06/2025;0;A;D7;1;7;0,428571429;0;0;0;Yes
18/06/2025;0;A;D7;2;7;0,428571429;0;0;0;Yes
18/06/2025;0;A;D7;3;7;0,428571429;0;0;0;Yes
18/06/2025;0;A;D7;4;7;0,428571429;0;0;0;Yes
16/07/2025;28;A;D1;1;1;3;0;0;0;Yes
16/07/2025;28;A;D1;2;1;3;0;0;0;Yes
16/07/2025;28;A;D1;3;1;3;0;0;0;Yes
16/07/2025;28;A;D1;4;1;3;0;0;0;Yes
16/07/2025;28;A;D2;1;2;1,5;0;0;0;Yes
16/07/2025;28;A;D2;2;2;1,5;0;0;0;Yes
16/07/2025;28;A;D2;3;2;1,5;0;0;0;Yes
16/07/2025;28;A;D2;4;2;1,5;0;0;0;Yes
16/07/2025;28;A;D2b;1;1;3;0;0;0;Yes
16/07/2025;28;A;D2b;2;1;3;0;0;0;No
16/07/2025;28;A;D2b;3;1;3;0;0;0;No
16/07/2025;0;B;D2b;1;2;3;0;0;0;Yes
16/07/2025;0;B;D2b;2;2;3;0;0;0;Yes
16/07/2025;0;B;D2b;3;2;3;0;0;0;Yes
16/07/2025;28;A;D2b;4;2;3;0;0;0;Yes
16/07/2025;28;A;D5;1;5;0,6;0;0;0;Yes
16/07/2025;28;A;D5;2;5;0,6;0;0;0;Yes
16/07/2025;28;A;D5;3;5;0,6;0;0;0;Yes
16/07/2025;28;A;D5;4;5;0,6;0;0;0;Yes
16/07/2025;28;A;D7;1;6;0,428571429;0;0;0;No
16/07/2025;28;A;D7;2;7;0,428571429;0;0;0;Yes
16/07/2025;28;A;D7;3;7;0,428571429;0;0;0;Yes
16/07/2025;28;A;D7;4;7;0,428571429;0;0;0;Yes
13/08/2025;56;A;D1;1;1;3;0;0;0;Yes
13/08/2025;56;A;D1;2;1;3;0;0;0;Yes
13/08/2025;56;A;D1;3;1;3;0;0;0;Yes
13/08/2025;56;A;D1;4;1;3;0;0;0;Yes
13/08/2025;56;A;D2;1;2;1,5;0;0;0;Yes
13/08/2025;56;A;D2;2;2;1,5;0;0;0;Yes
13/08/2025;56;A;D2;3;2;1,5;0;0;0;Yes
13/08/2025;56;A;D2;4;2;1,5;0;0;0;Yes
13/08/2025;28;B;D2b;3;2;3;0;0;0;Yes
13/08/2025;56;A;D2b;4;2;3;0;0;0;Yes
13/08/2025;56;A;D5;1;5;0,6;0;0;0;Yes
13/08/2025;56;A;D5;2;5;0,6;0;0;0;Yes
13/08/2025;56;A;D5;3;5;0,6;0;0;0;Yes
13/08/2025;56;A;D5;4;5;0,6;0;0;0;Yes
13/08/2025;56;A;D7;1;6;0,428571429;0;0;0;No
13/08/2025;56;A;D7;2;7;0,428571429;0;0;0;Yes
13/08/2025;56;A;D7;3;6;0,428571429;0;0;0;No
13/08/2025;56;A;D7;4;7;0,428571429;0;0;0;Yes
10/09/2025;84;A;D1;1;1;3;0;0;0;Yes
10/09/2025;84;A;D1;3;1;3;0;0;0;Yes
10/09/2025;84;A;D2;1;2;1,5;1;0,5;0,5;Yes
10/09/2025;84;A;D2;2;2;1,5;1;0,5;0,5;Yes
10/09/2025;84;A;D2;3;2;1,5;1;0,5;0,5;Yes
10/09/2025;84;A;D2;4;2;1,5;5;2,5;2,5;Yes
10/09/2025;56;B;D2b;3;2;3;0;0;0;Yes
10/09/2025;84;A;D2b;4;2;3;0;0;0;Yes
10/09/2025;84;A;D5;1;5;0,6;6;1,2;1,2;Yes
10/09/2025;84;A;D5;2;5;0,6;4;0,8;0,8;Yes
10/09/2025;84;A;D5;3;5;0,6;7;1,4;1,4;Yes
10/09/2025;84;A;D5;4;5;0,6;0;0;0;Yes
10/09/2025;84;A;D7;1;6;0,428571429;0;0;0;No
10/09/2025;84;A;D7;2;6;0,428571429;1;0,166666667;0,166666667;No
10/09/2025;84;A;D7;3;6;0,428571429;0;0;0;No
10/09/2025;84;A;D7;4;6;0,428571429;1;0,166666667;0,166666667;No
08/10/2025;112;A;D1;1;1;3;0;0;0;Yes
08/10/2025;112;A;D1;3;1;3;0;0;0;Yes
08/10/2025;112;A;D2;1;2;1,5;15;7,5;8;Yes
08/10/2025;112;A;D2;2;2;1,5;13;6,5;7;Yes
08/10/2025;112;A;D2;3;2;1,5;13;6,5;7;Yes
08/10/2025;112;A;D2;4;2;1,5;27;13,5;16;Yes
08/10/2025;84;B;D2b;3;2;3;6;3;3;Yes
08/10/2025;112;A;D2b;4;2;3;6;3;3;Yes
08/10/2025;112;A;D5;1;5;0,6;49;9,8;11;Yes
08/10/2025;112;A;D5;2;5;0,6;37;7,4;8,2;Yes
08/10/2025;112;A;D5;3;5;0,6;39;7,8;9,2;Yes
08/10/2025;112;A;D5;4;5;0,6;8;1,6;1,6;Yes
08/10/2025;112;A;D7;1;6;0,428571429;2;0,333333333;0,333333333;No
08/10/2025;112;A;D7;2;6;0,428571429;36;6;6,166666667;No
08/10/2025;112;A;D7;3;6;0,428571429;29;4,833333333;4,833333333;No
08/10/2025;112;A;D7;4;7;0,428571429;38;5,428571429;5,595238095;No
05/11/2025;140;A;D1;1;1;3;0;0;0;Yes
05/11/2025;140;A;D1;3;1;3;0;0;0;Yes
05/11/2025;140;A;D2;1;2;1,5;21;10,5;18,5;Yes
05/11/2025;140;A;D2;2;2;1,5;29;14,5;21,5;Yes
05/11/2025;140;A;D2;3;2;1,5;37;18,5;25,5;Yes
05/11/2025;140;A;D2;4;2;1,5;31;15,5;31,5;Yes
05/11/2025;112;B;D2b;3;2;3;28;14;17;Yes
05/11/2025;140;A;D2b;4;2;3;7;3,5;6,5;Yes
05/11/2025;140;A;D5;1;5;0,6;45;9;20;Yes
05/11/2025;140;A;D5;2;5;0,6;39;7,8;16;Yes
05/11/2025;140;A;D5;3;5;0,6;38;7,6;16,8;Yes
05/11/2025;140;A;D5;4;5;0,6;12;2,4;4;Yes
05/11/2025;140;A;D7;1;5;0,428571429;18;3,6;3,933333333;No
05/11/2025;140;A;D7;2;6;0,428571429;36;6;12,16666667;No
05/11/2025;140;A;D7;3;6;0,428571429;40;6,666666667;11,5;No
05/11/2025;140;A;D7;4;6;0,428571429;46;7,666666667;13,26190476;No
19/11/2025;154;A;D1;1;1;3;0;0;0;Yes
19/11/2025;154;A;D1;3;1;3;0;0;0;Yes
20/11/2025;154;A;D2;1;2;1,5;8;4;22,5;Yes
21/11/2025;154;A;D2;2;2;1,5;10;5;26,5;Yes
22/11/2025;154;A;D2;3;2;1,5;18;9;34,5;Yes
23/11/2025;154;A;D2;4;2;1,5;10;5;36,5;Yes
24/11/2025;126;B;D2b;3;2;3;16;8;25;Yes
25/11/2025;154;A;D2b;4;2;3;8;4;10,5;Yes
26/11/2025;154;A;D5;1;5;0,6;20;4;24;Yes
27/11/2025;154;A;D5;2;5;0,6;14;2,8;18,8;Yes
