"";"Id";"polymere";"concentration";"jour";"CO2";"traitement";"mean_CO2";"sd_CO2"
"1";"1A";"temoin";"0";1;613,97;"Témoin";609,102666666667;16,9785750089144
"2";"1A";"temoin";"0";3;1322,772;"Témoin";1155,289;199,840073151007
"3";"1A";"temoin";"0";7;2611,869;"Témoin";2043,56533333333;797,614893115928
"4";"1A";"temoin";"0";11;3793,38;"Témoin";2757,61033333333;1511,55113791837
"5";"1A";"temoin";"0";14;4638,769;"Témoin";3277,583;1981,02504296917
"6";"1A";"temoin";"0";21;6903,442;"Témoin";5403,89433333333;2083,09025005791
"7";"1A";"temoin";"0";29;8830,596;"Témoin";7302,21366666667;2059,28436196664
"8";"1B";"temoin";"0";1;623,116;"Témoin";609,102666666667;16,9785750089144
"9";"1B";"temoin";"0";3;934,077;"Témoin";1155,289;199,840073151007
"10";"1B";"temoin";"0";7;1131,749;"Témoin";2043,56533333333;797,614893115928
"11";"1B";"temoin";"0";11;1023,102;"Témoin";2757,61033333333;1511,55113791837
"12";"1B";"temoin";"0";14;1004,872;"Témoin";3277,583;1981,02504296917
"13";"1B";"temoin";"0";21;3025,384;"Témoin";5403,89433333333;2083,09025005791
"14";"1B";"temoin";"0";29;4960,465;"Témoin";7302,21366666667;2059,28436196664
"15";"1C";"temoin";"0";1;590,222;"Témoin";609,102666666667;16,9785750089144
"16";"1C";"temoin";"0";3;1209,018;"Témoin";1155,289;199,840073151007
"17";"1C";"temoin";"0";7;2387,078;"Témoin";2043,56533333333;797,614893115928
"18";"1C";"temoin";"0";11;3456,349;"Témoin";2757,61033333333;1511,55113791837
"19";"1C";"temoin";"0";14;4189,108;"Témoin";3277,583;1981,02504296917
"20";"1C";"temoin";"0";21;6282,857;"Témoin";5403,89433333333;2083,09025005791
"21";"1C";"temoin";"0";29;8115,58;"Témoin";7302,21366666667;2059,28436196664
"22";"2A";"pla";"1";1;722,004;"PLA 1 g/kg";795,834;64,3519945223145
"23";"2A";"pla";"1";3;1374,207;"PLA 1 g/kg";1421,89833333333;41,4019876978549
"24";"2A";"pla";"1";7;2675,249;"PLA 1 g/kg";2614,645;60,6039999999998
"25";"2A";"pla";"1";11;3977,398;"PLA 1 g/kg";4006,807;240,485961717103
"26";"2A";"pla";"1";14;4840,665;"PLA 1 g/kg";4914,323;240,314867120201
"27";"2A";"pla";"1";21;7621,157;"PLA 1 g/kg";7494,50566666667;204,651684345215
"28";"2A";"pla";"1";29;9719,659;"PLA 1 g/kg";9603,70233333333;270,429576890793
"29";"2B";"pla";"1";1;825,467;"PLA 1 g/kg";795,834;64,3519945223145
"30";"2B";"pla";"1";3;1448,621;"PLA 1 g/kg";1421,89833333333;41,4019876978549
"31";"2B";"pla";"1";7;2554,041;"PLA 1 g/kg";2614,645;60,6039999999998
"32";"2B";"pla";"1";11;3782,378;"PLA 1 g/kg";4006,807;240,485961717103
"33";"2B";"pla";"1";14;4719,458;"PLA 1 g/kg";4914,323;240,314867120201
"34";"2B";"pla";"1";21;7258,403;"PLA 1 g/kg";7494,50566666667;204,651684345215
"35";"2B";"pla";"1";29;9294,631;"PLA 1 g/kg";9603,70233333333;270,429576890793
"36";"2C";"pla";"1";1;840,031;"PLA 1 g/kg";795,834;64,3519945223145
"37";"2C";"pla";"1";3;1442,867;"PLA 1 g/kg";1421,89833333333;41,4019876978549
"38";"2C";"pla";"1";7;2614,645;"PLA 1 g/kg";2614,645;60,6039999999998
"39";"2C";"pla";"1";11;4260,645;"PLA 1 g/kg";4006,807;240,485961717103
"40";"2C";"pla";"1";14;5182,846;"PLA 1 g/kg";4914,323;240,314867120201
"41";"2C";"pla";"1";21;7603,957;"PLA 1 g/kg";7494,50566666667;204,651684345215
"42";"2C";"pla";"1";29;9796,817;"PLA 1 g/kg";9603,70233333333;270,429576890793
"43";"3A";"pla";"10";1;776,054;"PLA 10 g/kg";810,707666666667;37,7418778326322
"44";"3A";"pla";"10";3;1502,696;"PLA 10 g/kg";1548,209;65,2943332686689
"45";"3A";"pla";"10";7;2864,012;"PLA 10 g/kg";2917,54933333333;162,046531987986
"46";"3A";"pla";"10";11;4145,413;"PLA 10 g/kg";4067,906;77,5069999999998
"47";"3A";"pla";"10";14;5019,518;"PLA 10 g/kg";5112,80666666667;243,753117152035
"48";"3A";"pla";"10";21;7516,34;"PLA 10 g/kg";7756,85466666667;368,333530581094
"49";"3A";"pla";"10";29;9638,617;"PLA 10 g/kg";9839,769;458,950979248329
"50";"3B";"pla";"10";1;850,921;"PLA 10 g/kg";810,707666666667;37,7418778326322
"51";"3B";"pla";"10";3;1623,021;"PLA 10 g/kg";1548,209;65,2943332686689
"52";"3B";"pla";"10";7;3099,59;"PLA 10 g/kg";2917,54933333333;162,046531987986
"53";"3B";"pla";"10";11;4067,906;"PLA 10 g/kg";4067,906;77,5069999999998
"54";"3B";"pla";"10";14;5389,426;"PLA 10 g/kg";5112,80666666667;243,753117152035
"55";"3B";"pla";"10";21;8180,895;"PLA 10 g/kg";7756,85466666667;368,333530581094
"56";"3B";"pla";"10";29;10364,95;"PLA 10 g/kg";9839,769;458,950979248329
"57";"3C";"pla";"10";1;805,148;"PLA 10 g/kg";810,707666666667;37,7418778326322
"58";"3C";"pla";"10";3;1518,91;"PLA 10 g/kg";1548,209;65,2943332686689
"59";"3C";"pla";"10";7;2789,046;"PLA 10 g/kg";2917,54933333333;162,046531987986
"60";"3C";"pla";"10";11;3990,399;"PLA 10 g/kg";4067,906;77,5069999999998
"61";"3C";"pla";"10";14;4929,476;"PLA 10 g/kg";5112,80666666667;243,753117152035
"62";"3C";"pla";"10";21;7573,329;"PLA 10 g/kg";7756,85466666667;368,333530581094
"63";"3C";"pla";"10";29;9515,74;"PLA 10 g/kg";9839,769;458,950979248329
